Processed 37370 images in 1593.45 seconds
Batch processing times (ms):
Batch 1: 36076.07 ms
Batch 2: 40080.44 ms
Batch 3: 40497.25 ms
Batch 4: 41291.65 ms
Batch 5: 45517.74 ms
Batch 6: 39516.58 ms
Batch 7: 39969.18 ms
Batch 8: 43128.74 ms
Batch 9: 45930.26 ms
Batch 10: 40284.13 ms
Batch 11: 39619.58 ms
Batch 12: 45604.33 ms
Batch 13: 45049.31 ms
Batch 14: 40301.05 ms
Batch 15: 39900.43 ms
Batch 16: 40514.24 ms
Batch 17: 40063.69 ms
Batch 18: 48705.68 ms
Batch 19: 43681.25 ms
Batch 20: 42859.56 ms
Batch 21: 41788.19 ms
Batch 22: 43287.12 ms
Batch 23: 50226.75 ms
Batch 24: 41922.57 ms
Batch 25: 45575.42 ms
Batch 26: 44678.14 ms
Batch 27: 43388.15 ms
Batch 28: 45449.27 ms
Batch 29: 42513.95 ms
Batch 30: 42447.92 ms
Batch 31: 41126.01 ms
Batch 32: 42161.37 ms
Batch 33: 42841.91 ms
Batch 34: 46409.37 ms
Batch 35: 41070.49 ms
Batch 36: 39102.32 ms
Batch 37: 44623.29 ms
Batch 38: 16245.55 ms
